"Name","Measurement 1","Units 1","Qty","Units","SKU","Description","Cost Each","Cost Total","Markup %","Markup Each","Markup Total","Price Each","Price Total","Created By","Created At","Updated By","Updated At","Layer"
"Beverage Station","9.17","","9.17","","","","","1251.17","","","0.00","","1251.17","Evan Ramsey","4/13/2026 8:14:22 AM","Evan Ramsey","4/13/2026 8:14:22 AM","Default"
"  C-Top w/4"" Splash, Up to 25.5""d","5.17","FT","5.17","","","","55.00","284.17","","0.00","0.00","55.00","284.17","Evan Ramsey","4/13/2026 8:15:18 AM","Evan Ramsey","4/13/2026 8:26:25 AM","Default"
"    C-Top w/4"" Splash, Up to 25.5""d","","","5.17","LF","","","55.00","284.17","","","0.00","55.00","284.17","Evan Ramsey","4/13/2026 8:15:18 AM","Evan Ramsey","4/13/2026 8:15:18 AM","Default"
"  Lowers w/Doors, 34""-36""h","2.00","FT","2.00","","","","155.00","310.00","","0.00","0.00","155.00","310.00","Evan Ramsey","4/13/2026 8:16:15 AM","Evan Ramsey","4/13/2026 8:26:25 AM","Default"
"    Lowers w/Doors, 34""-36""h","","","2.00","LF","","","155.00","310.00","","","0.00","155.00","310.00","Evan Ramsey","4/13/2026 8:16:16 AM","Evan Ramsey","4/13/2026 8:16:16 AM","Default"
"  Rev-A-Shelf Pull-Out Hamper, Installed","1","EA","1.00","","","","609.00","609.00","","0.00","0.00","609.00","609.00","Evan Ramsey","4/13/2026 8:16:33 AM","Evan Ramsey","4/13/2026 8:26:25 AM","Default"
"    Rev-A-Shelf Pull-Out Hamper, Installed","","","1.00","EA","","","609.00","609.00","","","0.00","609.00","609.00","Evan Ramsey","4/13/2026 8:16:33 AM","Evan Ramsey","4/13/2026 8:16:33 AM","Default"
"  Finished End @ Lower Cabinet","1","EA","1.00","","","","48.00","48.00","","0.00","0.00","48.00","48.00","Evan Ramsey","4/13/2026 8:16:49 AM","Evan Ramsey","4/13/2026 8:26:25 AM","Default"
"    Finished End @ Lower Cabinet","","","1.00","EA","","","48.00","48.00","","","0.00","48.00","48.00","Evan Ramsey","4/13/2026 8:16:51 AM","Evan Ramsey","4/13/2026 8:16:51 AM","Default"
"Check Out / Aisle Casework","35.54","","35.54","","","","","4557.78","","","0.00","","4557.78","Evan Ramsey","4/13/2026 8:27:41 AM","Evan Ramsey","4/13/2026 8:27:41 AM","Default"
"  Uppers w/Doors, 32""-38""h, Angled for Corner","5.25","FT","5.25","","","","238.00","1249.24","","0.00","0.00","238.00","1249.24","Evan Ramsey","4/13/2026 8:28:18 AM","Evan Ramsey","4/13/2026 8:28:29 AM","Default"
"    Uppers w/Doors, 32""-38""h, Angled for Corner","","","5.25","LF","","","238.00","1249.24","","","0.00","238.00","1249.24","Evan Ramsey","4/13/2026 8:28:18 AM","Evan Ramsey","4/13/2026 8:28:18 AM","Default"
"  Light Valence","5.17","FT","5.17","","","","13.00","67.17","","0.00","0.00","13.00","67.17","Evan Ramsey","4/13/2026 8:28:48 AM","Evan Ramsey","4/13/2026 8:29:06 AM","Default"
"    Light Valence","","","5.17","LF","","","13.00","67.17","","","0.00","13.00","67.17","Evan Ramsey","4/13/2026 8:28:48 AM","Evan Ramsey","4/13/2026 8:28:48 AM","Default"
"  C-Top w/4"" Splash, Up to 25.5""d","5.17","FT","5.17","","","","55.00","284.17","","0.00","0.00","55.00","284.17","Evan Ramsey","4/13/2026 8:29:24 AM","Evan Ramsey","4/13/2026 8:29:24 AM","Default"
"    C-Top w/4"" Splash, Up to 25.5""d","","","5.17","LF","","","55.00","284.17","","","0.00","55.00","284.17","Evan Ramsey","4/13/2026 8:29:24 AM","Evan Ramsey","4/13/2026 8:29:24 AM","Default"
"  Lowers w/Doors, 34""-36""h","3.42","FT","3.42","","","","155.00","529.76","","0.00","0.00","155.00","529.76","Evan Ramsey","4/13/2026 8:30:12 AM","Evan Ramsey","4/13/2026 8:30:12 AM","Default"
"    Lowers w/Doors, 34""-36""h","","","3.42","LF","","","155.00","529.76","","","0.00","155.00","529.76","Evan Ramsey","4/13/2026 8:30:12 AM","Evan Ramsey","4/13/2026 8:30:12 AM","Default"
"  Drawer Ped, 4 Drw.","1","EA","16.54","","","","2427.45","2427.45","","0.00","0.00","2427.45","2427.45","Evan Ramsey","4/13/2026 8:30:30 AM","Evan Ramsey","4/13/2026 8:30:30 AM","Default"
